Age,Gender,Marital_Status,Education,Location,Monthly_Income,Credit_Score,Existing_Loans,Bank_Balance,Monthly_Expense,Loan_Amount,Loan_Tenure,Interest_Rate,EMI,Missed_EMI,Credit_Inquiries,Online_Engagement_Score,Past_Application_Status,Loan_Status
59,Male,Married,PhD,Urban,73072,459,1,459830,23639,1002526,60,11.5024104,26318.32124,4,,83,,0
49,Female,Single,Master,Rural,146972,681,3,327348,64673,574415,24,8.429352769,27968.91389,3,8,15,Rejected,0
35,Female,Single,Bachelor,Urban,146635,411,0,149572,28249,1332168,60,14.16869864,37932.0391,,,76,,0
63,Male,Single,Master,Semi-Urban,32200,525,0,195790,44636,794412,36,10.45923988,28991.12139,,,2,,0
28,Male,Married,Bachelor,Rural,120879,787,4,229860,35318,797821,48,8.246114309,22103.7068,1,4,90,Approved,1
41,Male,Single,Master,Urban,55444,858,3,436670,80246,926183,60,9.128072577,22481.6047,3,2,53,Approved,0
59,Female,Single,High School,Urban,33609,660,3,31272,14430,821084,48,7.214852203,22042.58309,2,9,95,Rejected,0
39,Female,Married,High School,Urban,104371,462,2,143212,9771,855213,60,10.01486522,21390.91911,0,,41,,0
43,Male,Divorced,High School,Urban,48861,346,0,113659,6732,50712,24,10.2110865,2544.520516,,,51,,0
31,Female,Divorced,Bachelor,Urban,41875,899,2,278060,44270,1152465,48,11.89327852,35431.84353,3,6,59,Approved,0
31,Male,Single,High School,Rural,69258,637,3,356702,65588,1715609,24,9.107147094,84503.96127,4,,68,Rejected,0
44,Male,Divorced,High School,Rural,131259,572,4,233829,90463,1950810,36,14.0898694,77094.71511,0,,69,,0
56,Female,Single,PhD,Semi-Urban,92123,354,1,370429,8851,189254,48,7.747110484,5164.601373,0,,66,,0
60,Male,Married,Master,Semi-Urban,103240,566,1,429638,47578,1472669,36,13.50072025,57475.88238,1,,95,,0
44,Male,Married,Bachelor,Urban,21408,844,0,,56936,226326,24,9.872352251,11292.225,,2,95,Approved,0
23,Female,Single,Master,Semi-Urban,51247,619,3,50843,12673,1939846,12,8.116561486,174774.5661,0,,80,Approved,0
42,Male,Married,Master,Urban,138147,357,2,19224,79661,1117927,36,10.19341605,40549.77363,0,,44,,0
22,Male,Single,Bachelor,Urban,107349,573,4,383918,70996,1585429,36,12.85839858,61028.09279,4,,10,,0
44,Female,Married,Bachelor,Urban,60927,633,1,363014,14943,233030,36,8.259280667,8076.939034,4,,25,Rejected,0
64,Male,Single,Master,Semi-Urban,100924,422,1,304536,46981,888663,36,7.276614991,30073.79876,3,,53,,0
